index,n_errors
0,0
1,1
2,0
3,0
4,0
5,0
6,2
7,1
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,4
34,0
35,0
36,0
37,0
38,0
39,1
40,6
41,0
42,0
43,0
44,3
45,0
46,1
47,0
48,1
49,0
50,2
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,3
76,1
77,5
78,0
79,0
80,0
81,0
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,2
99,0
